################################################################
# abuse.ch SSL IPBL (Aggressive)                               #
# Last updated: 2018-03-07 17:45:01 (UTC)                      #
#                                                              #
# Terms Of Use: https://sslbl.abuse.ch/blacklist/              #
# For questions please contact sslbl [at] abuse.ch             #
################################################################
#
# DstIP,DstPort,reason
1.179.170.7,4493,Dridex C&C;
1.54.70.28,443,Qadars C&C;
1.55.227.59,443,Qadars C&C;
1.93.0.224,443,Dridex C&C;
101.201.67.82,443,Ransomware C&C;
101.51.30.133,443,Qadars C&C;
103.11.143.177,443,KINS C&C;
103.13.29.158,943,Dridex C&C;
103.16.27.91,5874,Adwind C&C;
103.17.72.238,443,Ransomware C&C;
103.193.4.131,80,Gootkit C&C;
103.194.43.48,80,Gootkit C&C;
103.199.16.56,443,Shifu C&C;
103.208.86.215,443,TrickBot C&C;
103.224.83.130,4143,Dridex C&C;
103.230.189.210,4343,Dridex C&C;
103.245.153.151,4033,Dridex C&C;
103.245.153.154,4033,Dridex C&C;
103.245.153.65,4033,Dridex C&C;
103.245.153.70,343,Dridex C&C;
103.25.58.168,5676,Adwind C&C;
103.251.90.43,5445,Dridex C&C;
103.252.100.44,4493,Dridex C&C;
103.252.85.146,443,KINS C&C;
103.27.232.165,443,KINS C&C;
103.28.71.118,443,ZeuS C&C;
103.4.18.170,4143,Dridex C&C;
103.68.223.134,6329,Adwind C&C;
103.68.223.149,1991,Adwind C&C;
104.130.17.100,443,URLzone C&C;
104.131.35.60,18443,Dridex C&C;
104.131.50.79,4343,Dridex C&C;
104.131.59.185,243,Dridex C&C;
104.131.89.74,4431,Dridex C&C;
104.140.247.125,4431,Dridex C&C;
104.143.15.49,443,Gozi MITM
104.145.233.121,8586,Malware C&C;
104.152.188.24,443,ZeuS C&C;
104.152.188.33,443,ZeuS C&C;
104.153.0.227,18443,Dridex C&C;
104.153.108.111,9200,Adwind C&C;
104.153.108.150,3281,Adwind C&C;
104.156.53.91,473,Dridex C&C;
104.171.113.230,1989,Adwind C&C;
104.171.123.15,80,Gootkit C&C;
104.193.252.157,443,TorrentLocker C&C;
104.198.56.86,443,Gozi MITM
104.199.50.180,443,Chthonic MITM
104.200.67.112,443,AKBuilder C&C;
104.206.221.165,443,Gootkit C&C;
104.206.221.165,80,Gootkit C&C;
104.207.153.107,443,Ransomware C&C;
104.207.156.191,80,Gootkit C&C;
104.218.234.87,443,VMZeuS MITM
104.222.145.137,1805,Adwind C&C;
104.223.125.163,443,Quakbot C&C;
104.223.21.3,443,ZeuS C&C;
104.224.128.163,3448,Dridex C&C;
104.232.35.137,443,Gozi MITM
104.236.172.37,4143,Dridex C&C;
104.236.181.85,3443,Dridex C&C;
104.236.252.178,44343,Dridex C&C;
104.236.49.165,4143,Dridex C&C;
104.236.5.78,443,KINS C&C;
104.238.172.46,443,Gozi MITM
104.238.177.7,80,Gootkit C&C;
104.243.37.52,7070,Adwind C&C;
104.244.159.15,443,Gootkit C&C;
104.37.169.139,443,ZeuS C&C;
105.224.196.209,443,Quakbot C&C;
105.224.196.216,443,Quakbot C&C;
105.227.190.124,995,Quakbot C&C;
